"","age","edu","gend","inc","ideology","gccrsk","envconcern","gcc"
"1",70,3,0,3,7,10,5,1
"2",35,2,0,3,4,7,5,1
"3",51,3,0,7,4,9,10,1
"4",75,3,1,8,2,10,10,1
"5",39,4,0,10,4,8,10,1
"6",19,3,1,3,4,8,10,1
"7",61,3,0,2,4,8,5,1
"8",79,4,1,21,3,6,9,1
"9",34,3,0,5,4,6,6,1
"10",41,4,1,7,4,4,6,0
"11",31,2,1,6,3,9,6,1
"12",46,6,1,12,3,5,8,1
"13",73,6,1,10,7,3,4,0
"14",54,3,1,6,5,5,9,0
"15",68,4,1,7,3,7,4,1
"16",47,4,1,12,6,7,7,1
"17",22,4,0,5,4,3,4,0
"18",56,5,1,1,1,10,10,1
"19",52,3,1,5,6,3,6,0
"20",35,4,0,7,3,5,6,1
"21",56,2,1,3,4,8,5,1
"22",49,6,0,3,5,7,7,1
"23",51,6,0,6,4,2,6,0
"24",57,3,0,2,2,8,8,1
"25",44,3,1,1,1,4,3,0
"26",27,4,0,6,6,7,10,1
"27",58,3,1,13,6,7,5,1
"28",74,4,0,5,6,5,4,1
"29",47,2,0,4,6,5,3,0
"30",34,4,0,6,1,6,10,1
"31",69,3,1,4,6,2,1,0
"32",43,3,1,5,4,10,7,1
"33",44,6,1,10,3,9,10,1
"34",50,4,0,3,2,7,10,1
"35",54,4,1,14,3,8,9,1
"36",32,3,0,7,4,7,7,1
"37",38,3,1,2,4,5,0,1
"38",61,3,0,3,7,5,7,0
"39",22,2,0,2,3,10,9,0
"40",20,2,1,2,4,6,9,1
"41",28,4,1,7,2,5,9,0
"42",60,2,0,5,6,9,10,1
"43",46,4,1,6,4,3,7,0
"44",20,2,0,7,4,4,2,0
"45",54,3,1,3,4,9,9,1
"46",49,3,1,6,5,8,10,1
"47",28,2,0,5,6,0,0,0
"48",55,7,0,1,4,8,10,1
"49",42,4,1,4,4,7,8,1
"50",35,3,1,7,6,6,4,0
"52",73,4,1,6,4,10,7,1
"53",42,3,1,8,5,7,4,1
"54",39,5,0,6,2,8,9,1
"55",40,2,0,1,4,6,8,1
"56",65,2,0,9,4,8,9,1
"57",52,4,1,4,1,10,8,1
"58",29,4,0,5,2,7,0,1
"59",64,6,1,6,2,10,8,1
"60",72,3,0,6,2,7,7,1
"61",45,6,0,6,3,10,9,1
"62",57,4,0,1,2,7,9,1
"63",30,6,0,7,3,7,10,1
